,WL,n,k
92,1.2200000000000009,1.6267006181308128,0.00015885530512725716
93,1.2300000000000009,1.626630094805657,0.00015511429636988738
94,1.2400000000000009,1.6265592323387668,0.00015186758824299427
95,1.2500000000000009,1.626487562410517,0.00014821156914353084
96,1.260000000000001,1.6264152623302963,0.00014431081269539842
97,1.270000000000001,1.6263421152199575,0.00014048001540563693
98,1.280000000000001,1.6262689111912862,0.0001371922533258557
99,1.290000000000001,1.6261946549458437,0.00013322310926827227
100,1.300000000000001,1.6261202001423656,0.0001290932053309572
101,1.310000000000001,1.6260452365107698,0.00012447574813835536
102,1.320000000000001,1.6259691546316564,0.00012068719459896511
103,1.330000000000001,1.6258931137948698,0.00011593864390346215
104,1.340000000000001,1.6258157702389957,0.00011104326238849811
105,1.350000000000001,1.625738055543834,0.00010621798609492986
