WL,n,k
3.21,1.5,0.0025245775
3.22,1.5,0.0025391064
3.23,1.5,0.0025559798
3.24,1.5,0.0025777031
3.25,1.5,0.0025994263
3.26,1.5,0.0026211496
3.27,1.5,0.0026428729
3.28,1.5,0.0026645961
3.29,1.5,0.0026863194
3.3,1.5,0.0027080426
3.31,1.5,0.0027297659
3.32,1.5,0.0027514892
3.33,1.5,0.0027732124
3.34,1.5,0.0027949357
3.35,1.5,0.002816659
3.36,1.5,0.0028383822
3.37,1.5,0.0028601055
3.38,1.5,0.0028818287
3.39,1.5,0.002903552
3.4,1.5,0.0029252753
3.41,1.5,0.0029469985
3.42,1.5,0.0029687218
3.43,1.5,0.0029904451
3.44,1.5,0.0030121683
3.45,1.5,0.0030338916
3.46,1.5,0.0030556148
3.47,1.5,0.0030773381
3.48,1.5,0.0030990614
3.49,1.5,0.0031207846
3.5,1.5,0.0031427052
3.51,1.5,0.0031679528
3.52,1.5,0.0031932005
3.53,1.5,0.0032184481
3.54,1.5,0.0032436958
3.55,1.5,0.0032689434
3.56,1.5,0.0032941911
3.57,1.5,0.0033194387
3.58,1.5,0.0033446863
3.59,1.5,0.003369934
3.6,1.5,0.0033951816
3.61,1.5,0.0034204293
3.62,1.5,0.0034456769
3.63,1.5,0.0034709246
3.64,1.5,0.0034961722
3.65,1.5,0.0035214199
3.66,1.5,0.0035466675
3.67,1.5,0.0035719151
3.68,1.5,0.0035971628
3.69,1.5,0.0036224104
3.7,1.5,0.0036476581
3.71,1.5,0.0036729057
3.72,1.5,0.0036981534
3.73,1.5,0.003723401
3.74,1.5,0.0037486487
3.75,1.5,0.0037738963
3.76,1.5,0.0037991439
3.77,1.5,0.0038243916
3.78,1.5,0.0038496392
3.79,1.5,0.0038748869
3.8,1.5,0.0039001345
3.81,1.5,0.0039253822
3.82,1.5,0.0039506298
3.83,1.5,0.0039758775
3.84,1.5,0.0040011251
3.85,1.5,0.0040263727
3.86,1.5,0.0040516204
3.87,1.5,0.004076868
3.88,1.5,0.0041021157
3.89,1.5,0.0041273633
3.9,1.5,0.0041529246
3.91,1.5,0.0041821981
3.92,1.5,0.0042114715
3.93,1.5,0.004240745
3.94,1.5,0.0042700184
3.95,1.5,0.0042992919
3.96,1.5,0.0043285653
3.97,1.5,0.0043578388
3.98,1.5,0.0043871122
3.99,1.5,0.0044163857
4,1.5,0.0044456591
4.01,1.5,0.0044749326
4.02,1.5,0.004504206
4.03,1.5,0.0045334795
4.04,1.5,0.0045627529
4.05,1.5,0.0045920264
4.06,1.5,0.0046212998
4.07,1.5,0.0046505733
4.08,1.5,0.0046798467
4.09,1.5,0.0047091202
4.1,1.5,0.0047383936
4.11,1.5,0.0047676671
4.12,1.5,0.0047969406
4.13,1.5,0.004826214
4.14,1.5,0.0048554875
4.15,1.5,0.0048847609
4.16,1.5,0.0049140344
4.17,1.5,0.0049433078
4.18,1.5,0.0049725813
4.19,1.5,0.0050018547
4.2,1.5,0.0050311282
4.21,1.5,0.0050604016
4.22,1.5,0.0050896751
4.23,1.5,0.0051194464
4.24,1.5,0.005152712
4.25,1.5,0.0051859776
4.26,1.5,0.0052192431
4.27,1.5,0.0052525087
4.28,1.5,0.0052857743
4.29,1.5,0.0053190398
4.3,1.5,0.0053523054
4.31,1.5,0.0053855709
4.32,1.5,0.0054188365
4.33,1.5,0.0054521021
4.34,1.5,0.0054853676
4.35,1.5,0.0055186332
4.36,1.5,0.0055518988
4.37,1.5,0.0055851643
4.38,1.5,0.0056184299
4.39,1.5,0.0056516955
4.4,1.4375,0.005684961
4.41,1.4375,0.0057182266
4.42,1.4375,0.0057514922
4.43,1.4375,0.0057847577
4.44,1.4375,0.0058180233
4.45,1.4375,0.0058512888
4.46,1.4375,0.0058845544
4.47,1.4375,0.00591782
4.48,1.4375,0.0059510855
4.49,1.4375,0.0059843511
4.5,1.4375,0.0060176167
4.51,1.4375,0.0060508822
4.52,1.4375,0.0060841478
4.53,1.4375,0.0061174134
4.54,1.4375,0.0061506789
4.55,1.4375,0.0061839445
4.56,1.4375,0.0062172101
4.57,1.4375,0.0062504756
4.58,1.4375,0.0062837412
4.59,1.4375,0.0063184402
4.6,1.4375,0.0063554136
4.61,1.4375,0.006392387
4.62,1.4375,0.0064293605
4.63,1.4375,0.0064663339
4.64,1.4375,0.0065033073
4.65,1.4375,0.0065402808
4.66,1.4375,0.0065772542
4.67,1.4375,0.0066142276
4.68,1.4375,0.0066512011
4.69,1.4375,0.0066881745
4.7,1.4375,0.0067251479
4.71,1.4375,0.0067621213
4.72,1.4375,0.0067990948
4.73,1.4375,0.0068360682
4.74,1.4375,0.0068730416
4.75,1.4375,0.0069100151
4.76,1.4375,0.0069469885
4.77,1.4375,0.0069839619
4.78,1.4375,0.0070209354
4.79,1.4375,0.0070579088
4.8,1.4375,0.0070948822
4.81,1.4375,0.0071318556
4.82,1.4375,0.0071688291
4.83,1.4375,0.0072058025
4.84,1.4375,0.0072427759
4.85,1.4375,0.0073028713
4.86,1.4375,0.0073655772
4.87,1.4375,0.007428283
4.88,1.4375,0.0074909889
4.89,1.4375,0.0075536948
4.9,1.4375,0.0076164007
4.91,1.4375,0.0076791066
4.92,1.4375,0.0077418124
4.93,1.4375,0.0078045183
4.94,1.4375,0.0078672242
4.95,1.4375,0.0079299301
4.96,1.4375,0.0079926359
4.97,1.4375,0.0080553418
4.98,1.4375,0.0081180477
4.99,1.4375,0.0081807536
