WL,n,k
4.13,,2.24507524738985E-05
4.14,,2.24197217809318E-05
4.15,,2.2388691087965E-05
4.16,,2.23576603949983E-05
4.17,,2.23266297020315E-05
4.18,,2.22955990090648E-05
4.19,,2.2264568316098E-05
4.2,,2.22335376231313E-05
4.21,,2.22025069301645E-05
4.22,,2.21714762371978E-05
4.23,,2.2140445544231E-05
4.24,,2.21094148512643E-05
4.25,,2.20783841582975E-05
4.26,,2.20473534653308E-05
4.27,,2.2016322772364E-05
4.28,,2.19852920793973E-05
4.29,,2.19542613864305E-05
4.3,,2.19232306934638E-05
4.31,,2.1892200000497E-05
4.32,,2.18611693075303E-05
4.33,,2.18301386145635E-05
4.34,,2.17991079215968E-05
4.35,,2.17680772286301E-05
4.36,,0.000021737
4.37,,0.000021706
4.38,,0.000021675
4.39,,0.000021644
4.4,,2.16129237637963E-05
4.41,,2.15818930708296E-05
4.42,,2.15508623778628E-05
4.43,,2.15198316848961E-05
4.44,,2.14888009919293E-05
4.45,,2.14577702989626E-05
4.46,,2.14267396059958E-05
4.47,,2.13957089130291E-05
4.48,,2.13646782200623E-05
4.49,,2.13336475270956E-05
4.5,,2.13026168341288E-05
4.51,,2.12715861411621E-05
4.52,,2.12405554481953E-05
4.53,,2.12095247552286E-05
4.54,,2.11784940622618E-05
4.55,,2.11474633692951E-05
4.56,,2.11164326763284E-05
4.57,,2.10854019833616E-05
4.58,,2.10543712903949E-05
4.59,,2.10233405974281E-05
4.6,,2.09923099044614E-05
4.61,,2.09612792114946E-05
4.62,,2.09302485185279E-05
4.63,,2.08992178255611E-05
4.64,,2.08681871325944E-05
4.65,,2.08371564396276E-05
4.66,,2.08061257466609E-05
4.67,,2.07750950536941E-05
4.68,,2.07440643607274E-05
4.69,,0.000020713
4.7,,0.000020682
4.71,,0.000020651
4.72,,2.06199415888604E-05
4.73,,2.05889108958936E-05
4.74,,2.05578802029269E-05
4.75,,2.05268495099601E-05
4.76,,2.04958188169934E-05
4.77,,2.04647881240267E-05
4.78,,2.04337574310599E-05
4.79,,2.04027267380932E-05
4.8,,2.03716960451264E-05
4.81,,2.03406653521597E-05
4.82,,2.03096346591929E-05
4.83,,2.02786039662262E-05
4.84,,2.02475732732594E-05
4.85,,2.02165425802927E-05
4.86,,2.01855118873259E-05
4.87,,2.01544811943592E-05
4.88,,2.01234505013924E-05
4.89,,2.00924198084257E-05
4.9,,2.00613891154589E-05
4.91,,2.00303584224922E-05
4.92,,1.99993277295254E-05
4.93,,1.99682970365587E-05
4.94,,1.99372663435919E-05
4.95,,1.99062356506252E-05
4.96,,1.98752049576584E-05
4.97,,1.98441742646917E-05
4.98,,1.98131435717249E-05
4.99,,1.97821128787582E-05
